lg=02 total=288 pages=29
parsed items: 614 (fetched up to page 401)
already in DB: 533 | NOT in DB (new candidates): 81
written tmp/presale_02_0706.json
 NEW | 2026/7/21 | 朝日名人会 第２６２回 | 2026/9/19(土) | 東京都
 NEW | 2026/7/22 | 第三回 市川團子 新翔 春秋会 | 2026/10/16(金) ・ 2026/1 | 京都府
 NEW | 2026/7/20 | 石見神楽東京公演２０２６ | 2026/10/17(土) | 東京都
 NEW | 2026/7/18 | 越中ホール寄席２０２６＜講談編＞ 神田伯山独演会 | 2026/10/18(日) | 富山県
 NEW | 2026/8/1 | 大須演芸場 ９月定席寄席 ～大須で東西住吉踊り～ | 2026/9/1(火) ～ 2026/9/7 | 愛知県
 NEW | 2026/8/1 | 大須演芸場 ９月定席寄席 ～よる尾張極ショート寄 | 2026/9/4(金) ・ 2026/9/5 | 愛知県
 NEW | 2026/8/2 | Omotenashi Stage『18TRIP』 | 2026/8/25(火) ～ 2026/8/ | 神奈川県
 NEW | 2026/8/1 | 音楽劇『夜のピクニック』 | 2026/10/30(金) ・ 2026/1 | 茨城県
 NEW | 2026/7/25 | 「母さん、ラブソングです。」 | 2026/9/4(金) ・ 2026/9/5 | 愛知県
 NEW | 2026/8/2 | 『蛙昇天』 | 2026/10/24(土) ～ 2026/1 | 神奈川県
 NEW |  | かが屋の亀の間ライブ２０２６ －賀屋先生の漫画お | 2026/10/30(金) | 東京都
 NEW | 2026/7/24 | 桂塩鯛独演会 | 2026/9/26(土) | 滋賀県
 NEW | 2026/7/8 | 第９回 桂南光一門会 | 2026/9/5(土) | 大阪府
 NEW | 2026/7/18 | 第３６回 上方歌舞伎会 | 2026/8/22(土) ・ 2026/8/ | 大阪府
 NEW | 2026/7/22 | かめあり亭 第９１弾！ 立川談春 独演会 | 2026/9/9(水) | 東京都
 NEW | 2026/7/18 | 関内寄席 立川志の輔独演会 | 2026/9/27(日) | 神奈川県
 NEW | 2026/7/23 | 菊満開寄席 錦秋大江戸落語会 江戸落語特選シリー | 2026/11/22(日) | 大阪府
 NEW | 2026/7/21 | 第十一回キュウ単独公演『GET BACK！』 | 2026/9/8(火) | 愛知県
 NEW | 2026/7/30 | Ｄａｉｗａ Ｈｏｕｓｅ ＰＲＥＳＥＮＴＳ 熊川哲 | 2026/9/20(日) ～ 2026/9/ | 東京都
 NEW | 2026/8/1 | KURUMU OKAMIYA 1st CONCE | 2026/9/26(土) ・ 2026/9/ | 大阪府
 NEW | 2026/7/20 | 第１７９回 グリーンホール八起寄席 | 2026/9/28(月) | 神奈川県
 NEW | 2026/7/25 | 劇場で出会う文学ｖｏｌ．３ ～小川洋子×朗読×音 | 2026/10/21(水) | 岡山県
 NEW | 2026/8/1 | 劇団スーパー・エキセントリック・シアター 第６４ | 2026/10/29(木) ～ 2026/1 | 東京都
 NEW | 2026/7/17 | 劇団青年座 | 2026/9/5(土) ～ 2026/9/1 | 東京都
 NEW | 2026/7/25 | こすもす寄席 ～立川志らく・三遊亭萬橘 二人会～ | 2026/10/4(日) | 福岡県
