=== reconcile_pia (today=2026-08-29) 対象74件 ===

✅ id=5656 TOTO | 登録1=ぴあ1 一致
✅ id=5657 DIR EN GREY | 登録1=ぴあ1 一致
✅ id=5658 宝塚歌劇 星組宝塚大劇場公演『RRR × TAK | 登録2=ぴあ2 一致
✅ id=5660 4GENEXYZ | 登録1=ぴあ1 一致
✅ id=5661 スーパー戦隊魂 XX 2026 ～FOREVER | 登録1=ぴあ1 一致
✅ id=5662 横須賀芸術劇場リニューアル記念 ヨコスカ ジャズ | 登録1=ぴあ1 一致
✅ id=5663 キム・キュジョン | 登録1=ぴあ1 一致
✅ id=5664 ハリー・ポッターTM in コンサート | 登録2=ぴあ2 一致
✅ id=5665 森口博子 クリスマスディナー&ライブ2026 | 登録1=ぴあ1 一致
✅ id=5666 舞台「文豪とアルケミスト 転生者ノ回顧(シンフォ | 登録2=ぴあ2 一致
✅ id=5667 第101回朝の光のクラシック 北村明日人（p） | 登録1=ぴあ1 一致
✅ id=5668 第39回 全日本マーチングコンテスト 中学生の部 | 登録4=ぴあ4 一致
✅ id=5669 フォーレ四重奏団 第1夜 | 登録1=ぴあ1 一致
✅ id=5670 フォーレ四重奏団 第2夜 | 登録1=ぴあ1 一致
✅ id=5671 イリヤ・イーティン（p） | 登録1=ぴあ1 一致
✅ id=5672 ベートーヴェン“第九”演奏会2026 | 登録1=ぴあ1 一致
✅ id=5673 アブナイ ヨセ 全国ツアー | 登録1=ぴあ1 一致
✅ id=5674 狂テット | 登録1=ぴあ1 一致
✅ id=5675 神韻日本公演2027 | 登録9=ぴあ9 一致
✅ id=5676 よしもとお笑いライブin川越2026 ～秋の夜の | 登録1=ぴあ1 一致
🚨 id=5677 よしもとお笑いライブinけいはんな2026 ～実力派芸人と吉 | 登録1枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜8/31 11:00 (2026-08-31) があるが登録に無い | よしもとお笑いライブinけいはんな2026 －実力派芸人と吉本新喜劇が大集合!…
🚨 id=5678 よしもとお笑いライブin枚方2026 ～食欲の秋より笑いの秋 | 登録1枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜8/31 11:00 (2026-08-31) があるが登録に無い | よしもとお笑いライブin枚方2026 －食欲の秋より笑いの秋!…－〔大阪〕
🚨 id=5679 笑いの秋!よしもとお笑いライブin堺2026 | 登録1枠 / ぴあ買える2枠
    🚨MISSING ぴあに [受付中] 〜8/31 11:00 (2026-08-31) があるが登録に無い | 笑いの秋!よしもとお笑いライブin堺2026〔大阪〕
✅ id=5680 小井土文哉ピアノリサイタル Vol.4 | 登録1=ぴあ1 一致
✅ id=5681 オルガン名曲決定版2027 | 登録1=ぴあ1 一致
✅ id=5682 ザ・シンフォニーホール ジルベスターコンサート2 | 登録1=ぴあ1 一致
✅ id=5683 ザ・シンフォニーホール ニューイヤーコンサート2 | 登録1=ぴあ1 一致
✅ id=5684 仲道郁代 ベートーヴェンの宇宙第5回～不滅の恋人 | 登録1=ぴあ1 一致
✅ id=5685 小林紀子バレエ・シアター | 登録1=ぴあ1 一致
✅ id=5686 日本センチュリー交響楽団 京都公演 | 登録1=ぴあ1 一致
✅ id=5687 日本センチュリー交響楽団 第303回定期演奏会 | 登録1=ぴあ1 一致
✅ id=5688 ランチタイム・コンサート Vol.33 | 登録1=ぴあ1 一致
✅ id=5689 ミラクルひかる×エハラマサヒロ スペシャルものま | 登録1=ぴあ1 一致
