lg=01 total=4941 pages=495
parsed items: 598 (fetched up to page 401)
already in DB (eventCd一致): 471 | NOT in DB (new candidates): 127
  うち 96件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_01_0101_0913.json
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/11(日) | 愛知県
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/18(日) | 福岡県
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/25(日) | 大阪府
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/11/7(土) | 岡山県
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/11/8(日) | 香川県
 NEW |  | ａｉｌｌｙ | 2026/12/25(金) | 東京都
 NEW |  | 藍井エイル | 2026/12/24(木) | 東京都
 NEW |  | 秋の定期公演「フォークソングでやんす」六角精児バ | 2026/9/25(金) | 東京都
 NEW |  | ＡＫＩＨＩＤＥ | 2026/11/8(日) | 北海道
 NEW |  | ＡＫＩＨＩＤＥ | 2026/11/14(土) | 大分県
 NEW |  | 亜咲花 | 2026/10/11(日) | 東京都
 NEW |  | 浅葱／ASAGI 20th Anniversar | 2026/9/19(土) | 東京都
 NEW |  | ＡＳＫＡ | 2026/10/11(日) | 岐阜県
 NEW |  | ＡＳＫＡ | 2026/10/16(金) ・ 2026/1 | 鳥取県／岡山県
 NEW |  | あたらよ | 2026/9/18(金) | 東京都
 NEW |  | ＡＳＨ | 2026/9/18(金) | 東京都
 NEW |  | アナタ・ボリビア | 2026/10/16(金) ・ 2026/1 | 京都府／兵庫県
 NEW |  | ＡＮＩＭＥＴＡＬ | 2026/10/23(金) | 大阪府
 NEW |  | あの素晴しい歌をもう一度コンサート２０２６東京 | 2026/9/18(金) | 東京都
 NEW |  | Ａ Ｐｅｒｆｅｃｔ Ｃｉｒｃｌｅ／Ｐｕｓｃｉｆｅ | 2026/12/15(火) | 東京都
 NEW |  | 綾戸智恵 | 2026/10/3(土) | 兵庫県
 NEW |  | 綾戸智恵 | 2026/11/28(土) | 愛知県
 NEW |  | 新居昭乃 | 2026/9/23(水・祝) | 愛知県
 NEW |  | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | Ａｒａｋｅｚｕｒｉ | 2026/9/16(水) | 愛知県
