lg=06 total=873 pages=88
parsed items: 641 (fetched up to page 89)
already in DB (eventCd一致): 245 | NOT in DB (new candidates): 396
  うち 16件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_06_0101_0914.json
 NEW |  | 「ＯＵＴＢＵＲＮ」ｉｎＩＮＡＢＥ | 2026/9/26(土) ・ 2026/9/ | 三重県
 NEW |  | 第8回秋川流域花火大会 | 2026/11/14(土) | 東京都
 NEW |  | 秋酒祭 岐阜～岐阜の地酒に酔う ２０２６～ | 2026/10/24(土) ～ 2026/1 | 岐阜県
 NEW |  | 悪魔の恋愛診断展〈9/11(金)～9/15(火) | 2026/9/11(金) ～ 2026/9/ | 東京都
 NEW |  | 悪魔の恋愛診断展〈9/16(水)～9/20(日) | 2026/9/16(水) ～ 2026/9/ | 東京都
 NEW |  | 悪魔の恋愛診断展〈9/21(月・祝)～9/25( | 2026/9/21(月・祝) ～ 2026/ | 東京都
 NEW |  | 悪魔の恋愛診断展〈9/26(土)～9/30(水) | 2026/9/26(土) ～ 2026/9/ | 東京都
 NEW |  | 悪魔の恋愛診断展〈10/1(木)～10/5(月) | 2026/10/1(木) ～ 2026/10 | 東京都
 NEW |  | 名勝 伝法院庭園・絵馬堂 特別拝観 | 2026/10/30(金) ～ 2026/1 | 東京都
 NEW |  | 浅草花やしき「浅草怪宴夜行－ＡＳＡＫＵＳＡ ＨＯ | 2026/10/4(日) ～ 2026/10 | 東京都
 NEW |  | AJINOMOTO 未確認フードコート | 2026/10/3(土) | 東京都
 NEW |  | アニメ「暗殺教室」スペシャルイベント“同窓会の時 | 2026/10/17(土) | 埼玉県
 NEW |  | あばれる君 熱血授業ｉｎ掛川 | 2026/11/15(日) | 静岡県
 NEW |  | AVANT JAM 2026 | 2026/10/10(土) | 大阪府
 NEW |  | ＡＢＩＲＡ ＤＯＯＲ ２０２６ | 2026/9/21(月・祝) | 北海道
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/16(水) ・ 2026/9/ | 東京都
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/12(土) ～ 2026/9/ | 東京都
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/16(水) ・ 2026/9/ | 大阪府
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/12(土) ～ 2026/9/ | 大阪府
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/16(水) ・ 2026/9/ | 東京都
 NEW |  | ALPHA DRIVE ONE × TOWER  | 2026/9/12(土) ～ 2026/9/ | 東京都
 NEW |  | ＡＲＴ ＣＵＬＴＵＲＥ ＳＴＲＥＥＴ． ＮＩＧＨ | 2026/10/3(土) ・ 2026/10 | 東京都
 NEW |  | ＡＲＴ ｄｅ ＭＥＡＴ Ｎａｇｉ ２０２６ | 2026/9/26(土) | 岡山県
 NEW |  | 2026 LEE YIKYUNG SHOW | 2026/10/25(日) | 東京都
 NEW |  | 池の平ファミリーランド | 2026/4/18(土) ～ 2026/11 | 長野県
