=== reconcile_pia (today=2026-08-18) 対象54件 ===

✅ id=4377 BE WONDERFUL!! | 登録2=ぴあ2 一致
✅ id=4400 MASTERPIECE 2026 | 登録1=ぴあ1 一致
✅ id=4417 2026 LEE SANG JUN SHOW 4 | 登録1=ぴあ1 一致
✅ id=4418 Osaka GLOW Glow-in-the-D | 登録1=ぴあ1 一致
✅ id=4589 ASKA | 登録2=ぴあ2 一致
✅ id=4590 THE MODS | 登録2=ぴあ2 一致
✅ id=4591 jimama | 登録1=ぴあ1 一致
✅ id=4592 橋本絵莉子 | 登録2=ぴあ2 一致
✅ id=4593 フラワーカンパニーズ | 登録2=ぴあ2 一致
✅ id=4594 真心ブラザーズ | 登録2=ぴあ2 一致
✅ id=4595 ネパールの詩心～四季と祭り～ | 登録1=ぴあ1 一致
✅ id=4596 山内惠介 | 登録1=ぴあ1 一致
✅ id=4597 キュウソネコカミ | 登録2=ぴあ2 一致
✅ id=4598 THE SNUTS | 登録1=ぴあ1 一致
✅ id=4599 THE PAINS OF BEING PURE  | 登録1=ぴあ1 一致
✅ id=4600 SHIBUYA MUSIC CROSSOVER  | 登録1=ぴあ1 一致
💤 id=4601 SUGIZO | 登録1枠 / ぴあ買える0枠
    ❌FETCH ぴあが混雑ページに飛ばした（券種は読めていない）: http://sorry.pia.jp/nt2/pia/?mark= | https://t.pia.jp/pia/event/event.do?eventCd=2630252
    💤STALE 登録「一般発売（宮城 11/14公演）8/22 10:00発売」(2026-08-22) がぴあの買える枠に無い
✅ id=4602 関取花 | 登録1=ぴあ1 一致
✅ id=4603 タブレット純 魅惑の歌謡ショー | 登録2=ぴあ2 一致
✅ id=4604 つばきファクトリー | 登録1=ぴあ1 一致
✅ id=4605 永井龍雲 | 登録1=ぴあ1 一致
✅ id=4606 福田こうへい | 登録1=ぴあ1 一致
✅ id=4607 PEDRO | 登録2=ぴあ2 一致
✅ id=4608 布袋寅泰 | 登録17=ぴあ17 一致
✅ id=4609 My Little Lover ☆ Akko B | 登録1=ぴあ1 一致
✅ id=4610 みやけん | 登録1=ぴあ1 一致
✅ id=4611 MET JAZZ TOKYO: DAY 0 | 登録1=ぴあ1 一致
✅ id=4612 和田唱 | 登録1=ぴあ1 一致
✅ id=4613 野村萬斎 狂言公演 | 登録1=ぴあ1 一致
✅ id=4614 舞台『メイジ・ザ・キャッツアイ』 | 登録4=ぴあ4 一致
✅ id=4615 ミュージカル『SPY×FAMILY 2 爆弾犬篇 | 登録1=ぴあ1 一致
✅ id=4616 戯曲音劇「銀河鉄道の夜」 | 登録1=ぴあ1 一致
✅ id=4617 『スリーゴースト』 | 登録1=ぴあ1 一致
✅ id=4618 名取事務所公演『追熟しない果実』 | 登録1=ぴあ1 一致
✅ id=4619 坂東玉三郎（人間国宝・歌舞伎俳優）～お話と素踊り | 登録1=ぴあ1 一致
✅ id=4621 第88回 扇辰・喬太郎の会 | 登録2=ぴあ2 一致
✅ id=4622 トム・プロジェクト プロデュース 風間杜夫ひとり | 登録1=ぴあ1 一致
✅ id=4623 吉本新喜劇&バラエティ in ながの | 登録1=ぴあ1 一致
✅ id=4624 梅沢富美男・研ナオコ ～アッ!とおどろく夢芝居  | 登録1=ぴあ1 一致
✅ id=4625 劇団四季「オペラ座の怪人」1月／名古屋 | 登録1=ぴあ1 一致
✅ id=4626 劇団四季「オペラ座の怪人」2月／名古屋 | 登録1=ぴあ1 一致
✅ id=4627 劇団四季「オペラ座の怪人」3月／名古屋 | 登録1=ぴあ1 一致
✅ id=4628 神奈月 ソロライブツアー ものまねLOVE202 | 登録1=ぴあ1 一致
✅ id=4629 立川志らく 独演会 | 登録1=ぴあ1 一致
✅ id=4630 爆笑!お笑いライブ in 浜松 | 登録1=ぴあ1 一致
✅ id=4631 ミュージカル『メイビー、ハッピーエンディング』 | 登録2=ぴあ2 一致
✅ id=4632 WAHAHA本舗PRESENTS ワハハ本舗特別 | 登録6=ぴあ6 一致
✅ id=4633 劇団アンパサンド『立ち止まるには近すぎる』札幌公 | 登録1=ぴあ1 一致
✅ id=4634 劇団四季「リトルマーメイド」／舞浜 「シェフ・ミ | 登録2=ぴあ2 一致
✅ id=4635 劇団四季「リトルマーメイド」／舞浜 東京ディズニ | 登録4=ぴあ4 一致
✅ id=4636 庭劇団ペニノ『埋火(うずみび)』 | 登録3=ぴあ3 一致
✅ id=4637 オペラシアターこんにゃく座 オペラ「あん」 | 登録1=ぴあ1 一致
✅ id=4638 キーウ・クラシック・バレエ 「ロミオとジュリエッ | 登録1=ぴあ1 一致
✅ id=4620 かめあり亭 第93弾! 春風亭昇太 独演会 -春 | 登録1=ぴあ1 一致

=== 集計: OK 53 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 1 / ❌FETCH 1 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 92/94 / 未照合 skip2(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
