lg=01 total=1233 pages=124
parsed items: 711 (fetched up to page 125)
already in DB (eventCd一致): 349 | NOT in DB (new candidates): 362
  うち 111件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_sweepbucket_01_7.json
 NEW |  | 秋の定期公演「フォークソングでやんす」六角精児バ | 2026/9/25(金) | 東京都
 NEW |  | 亜咲花 | 2026/10/11(日) | 東京都
 NEW |  | 浅葱／ASAGI 20th Anniversar | 2026/8/28(金) | 東京都
 NEW |  | あたらよ | 2026/9/18(金) | 東京都
 NEW |  | あの素晴しい歌をもう一度コンサート２０２６東京 | 2026/9/18(金) | 東京都
 NEW |  | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | ＡＲＯＵＮＤ ４０ ＭＥＭＯＲＹ ＣＯＮＣＥＲＴ | 2026/11/21(土) | 神奈川県
 NEW |  | アルルカン | 2026/9/6(日) | 東京都
 NEW |  | Unlucky Morpheus | 2026/11/17(火) | 東京都
 NEW |  | 杏里 | 2026/9/6(日) | 東京都
 NEW |  | 杏里 | 2026/9/20(日) | 神奈川県
 NEW |  | 杏里 | 2026/9/13(日) | 新潟県
 NEW |  | 五十嵐ハル | 2026/8/27(木) | 東京都
 NEW |  | いぎなり東北産 | 2026/8/29(土) | 東京都
 NEW |  | 石川さゆりコンサート ～極上のアンサンブル～ | 2026/11/15(日) | 東京都
 NEW |  | 石川智晶 | 2026/9/6(日) | 東京都
 NEW |  | ＩＫＫＯ ＤＲＡＭＡＴＩＣ ～ＢＥＡＵＴＹ ＭＵ | 2026/9/29(火) | 東京都
 NEW |  | 稲垣潤一 | 2026/9/12(土) | 東京都
 NEW |  | 伊波杏樹 | 2026/9/19(土) | 東京都
 NEW |  | 井上昌己 Ｊｏｙ Ｐｏｐ ＭＵＳＩＣ ２０２６ | 2026/9/6(日) | 神奈川県
 NEW |  | 今井翼 | 2026/10/16(金) | 神奈川県
 NEW |  | イルカ | 2026/10/18(日) | 埼玉県
 NEW |  | 岩崎宏美＆国府弘子 ピアノ・ソングス | 2026/8/29(土) ・ 2026/8/ | 長野県
 NEW |  | eastern youth | 2026/8/29(土) | 東京都
 NEW |  | eastern youth | 2026/10/31(土) | 長野県
