lg=01 total=515 pages=52
parsed items: 755 (fetched up to page 401)
already in DB: 739 | NOT in DB (new candidates): 16
written tmp/presale_01_0708.json
 NEW |  | 荒谷翔大 | 2026/11/1(日) | 北海道
 NEW |  | 岩崎宏美 | 2026/11/1(日) | 栃木県
 NEW |  | ＷＯＬＦ ＨＯＷＬ ＨＡＲＭＯＮＹ | 2026/11/6(金) | 福岡県
 NEW |  | おいしくるメロンパン | 2026/11/6(金) ・ 2026/11 | 北海道
 NEW | 2026/8/5 | 川野夏美／三丘翔太 | 2026/9/19(土) ・ 2026/9/ | 東京都／大阪府
 NEW | TODAY | Ｃｈｉｌｌｉ Ｂｅａｎｓ． | 2027/2/18(木) | 愛知県
 NEW | 2026/7/20 | 中山優馬 | 2026/10/12(月・祝) | 和歌山県
 NEW |  | 「ノイミーステーション」公開収録＆ミニＬＩＶＥ２ | 2026/8/16(日) | 大阪府
 NEW |  | 浜田真理子 | 2026/10/11(日) | 東京都
 NEW |  | FULL METAL JAPAN 2026 ～P | 2026/10/24(土) ・ 2026/1 | 神奈川県
 NEW |  | ＢＲＡＤＩＯ | 2026/11/7(土) | 石川県
 NEW |  | BRADIO | 2026/10/9(金) | 北海道
 NEW | TODAY | 前田勉＠ＣＯＺＨＡＬＬ | 2026/9/19(土) | 佐賀県
 NEW | 2026/8/6 | 松平健 マツケンサンバコンサート２０２６ | 2026/11/21(土) | 新潟県
 NEW | 2026/7/10 | ユナイト | 2026/10/27(火) | 大阪府
 NEW |  | Ringwanderung | 2026/8/16(日) | 東京都
