=== 隠れ枠スキャン (today=2026-08-26) ===
  対象エントリ 91件 / 隠れ枠 120枠
  id=3513  大相撲九月場所                        隠れ7/全7枠
  id=3798  東京ホラー特区!!2026                  隠れ5/全14枠
  id=4971  映画『ホーム スイート ホーム』公開記念舞台挨拶       隠れ5/全5枠
  id=4358  「劇場版 魔法少女まどか☆マギカ〈ワルプルギスの廻天〉」   隠れ4/全4枠
  id=4912  弁論2026                         隠れ4/全4枠
  id=1     さだまさし                          隠れ3/全15枠
  id=4326  Kis-My-Ft2                     隠れ3/全3枠
  id=177   山内惠介                           隠れ2/全9枠
  id=642   陰陽座                            隠れ2/全4枠
  id=2223  宝塚歌劇星組 宝塚大劇場公演 三井住友VISAカードシア   隠れ2/全8枠
  id=3743  Uru                            隠れ2/全2枠
  id=3875  ミュージカル「タイムトラベラーズ・ワイフ」          隠れ2/全2枠
  id=130   宝塚歌劇団 雪組                       隠れ1/全1枠
  id=516   大瀬戸千嶋                          隠れ1/全3枠
  id=571   竹原ピストル                         隠れ1/全3枠
  id=753   渡辺真知子                          隠れ1/全1枠
  id=761   半崎美子                           隠れ1/全5枠
  id=950   天満天神繁昌亭                        隠れ1/全15枠
  id=1071  ミュージカル『ニコラ・テスラ～エジソンが恐れた孤高の天才   隠れ1/全3枠
  id=1095  星屑の会『星屑の町～忘却篇』                 隠れ1/全6枠
  … 他 71件

(走査のみ。ぴあ再パースするなら --build)
