lg=01 total=89 pages=9
parsed items: 89 (fetched up to page 10)
already in DB (eventCd一致): 60 | NOT in DB (new candidates): 29
  うち 20件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf33.json
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/11/7(土) | 岡山県
 NEW |  | ＡＳＫＡ | 2026/10/16(金) ・ 2026/1 | 鳥取県／岡山県
 NEW |  | アナタ・ボリビア | 2026/11/2(月) ・ 2026/11 | 岡山県／広島県
 NEW |  | ウィンファイブオカヤマ－其の肆－ | 2026/11/11(水) | 岡山県
 NEW |  | 打首獄門同好会 | 2026/10/10(土) | 岡山県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | きのホ。 × ＡＱ ツーマン企画 コトコントン～ | 2026/9/20(日) | 岡山県
 NEW |  | キュウソネコカミ | 2027/1/22(金) | 岡山県
 NEW |  | ここが俺らの夢番地！！－白壁の街編－ | 2026/10/9(金) | 岡山県
 NEW |  | ｔｈｅ ｂａｎｄ ａｐａｒｔ | 2026/12/5(土) | 岡山県
 NEW |  | シクラメン | 2026/9/12(土) ・ 2026/9/ | 岡山県／広島県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/10/4(日) | 岡山県
 NEW |  | ＳＥｔＴＯＵＣＨシアター Ｔｈｅ ｆｉｒｓｔ ｓ | 2026/9/12(土) | 岡山県
 NEW |  | ちゃくら | 2026/10/3(土) | 岡山県
 NEW |  | デラックス×デラックス | 2026/9/12(土) ・ 2026/9/ | 鳥取県／岡山県
 NEW |  | 徳永英明 | 2026/10/17(土) | 岡山県
 NEW |  | 堂島孝平 | 2026/10/4(日) ・ 2026/10 | 岡山県／広島県
 NEW |  | Ｆｅａｒ，ａｎｄ Ｌｏａｔｈｉｎｇ ｉｎ Ｌａｓ | 2026/12/11(金) | 岡山県
 NEW |  | ｆａｃｅ ｔｏ ａｃｅ | 2026/9/19(土) ・ 2026/9/ | 岡山県／広島県
 NEW |  | プッシュプルポット | 2026/10/24(土) | 岡山県
 NEW |  | 邦洋楽トリオ心音クリスマスコンサート | 2026/12/6(日) | 岡山県
 NEW |  | maya ongaku | 2026/10/16(金) ～ 2026/1 | 山梨県／長野県／愛知県／兵庫県／岡山県／福岡県／熊本県
 NEW |  | ＭＹＴＨ ＆ ＲＯＩＤ | 2026/9/21(月・祝) | 岡山県
 NEW |  | ｍｉｌｅｔ | 2026/10/4(日) | 岡山県
 NEW |  | ＴＨＥ ＭＯＤＳ | 2026/10/24(土) | 岡山県
