lg=01 total=4831 pages=484
parsed items: 604 (fetched up to page 401)
already in DB (eventCd一致): 520 | NOT in DB (new candidates): 84
  うち 60件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0921/uketsuke_01.json
 NEW |  | 相川七瀬 | 2026/11/2(月) | 東京都
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/11/28(土) | 宮城県
 NEW |  | 秋の定期公演「フォークソングでやんす」六角精児バ | 2026/9/25(金) | 東京都
 NEW |  | ＡＫＩＨＩＤＥ | 2026/11/8(日) | 北海道
 NEW |  | 秋山黄色 | 2026/10/23(金) | 北海道
 NEW |  | 亜咲花 | 2026/10/11(日) | 東京都
 NEW |  | ＡＳＫＡ | 2026/10/11(日) | 岐阜県
 NEW |  | ＡＳＫＡ | 2026/10/16(金) ・ 2026/1 | 鳥取県／岡山県
 NEW |  | Ａｄｕｌｔ ｆａｍｉｌｙ | 2026/10/31(土) | 千葉県
 NEW |  | アナタ・ボリビア | 2026/10/16(金) ・ 2026/1 | 京都府／兵庫県
 NEW |  | アニマーシブライブ 「竜とそばかすの姫 －PRO | 2026/10/10(土) ～ 2026/1 | 東京都
 NEW |  | Ａ Ｐｅｒｆｅｃｔ Ｃｉｒｃｌｅ／Ｐｕｓｃｉｆｅ | 2026/12/15(火) | 東京都
 NEW |  | 綾戸智恵 | 2026/10/3(土) | 兵庫県
 NEW |  | 新居昭乃 | 2026/9/23(水・祝) | 愛知県
 NEW |  | 新居昭乃 | 2026/11/14(土) | 東京都
 NEW |  | ANN WILSON | 2026/11/17(火) | 東京都
 NEW |  | アンジュルム | 2026/9/26(土) | 三重県
 NEW |  | アンダーグラフ | 2027/1/22(金) | 大阪府
 NEW |  | ＵＮＦＡＩＲ ＲＵＬＥ | 2026/10/9(金) | 宮城県
 NEW |  | Unlucky Morpheus | 2026/11/17(火) | 東京都
 NEW |  | 杏里 | 2026/10/3(土) | 京都府
 NEW |  | 杏里 | 2026/12/13(日) | 沖縄県
 NEW |  | 杏里 | 2026/10/24(土) | 東京都
 NEW |  | 杏里 | 2026/10/18(日) | 福岡県
 NEW |  | 杏里 | 2026/11/14(土) | 愛知県
